kind	nome	plain_bytes	plain_sha256	comp_bytes	comp_sha256	status
plain	alt_55_aa_96	96	778650cf7bc4e70f7f39c9645557110e8a732709ce1fa5d1cc9ca8a33b677c34	16	bfc3120f25e4d8a1a339d8d18dc3d880954dfca37a3c218c8b2a46c35551c98a	RT-OK
plain	ff32	32	af9613760f72635fbdb44a5a0a63c39f12af30f950a6ee5c971be188e89c4051	7	c8bb23a34109870047265b371d8fbda54a1bc4a227aa4d7f6845dd0e6ba6ed23	RT-OK
plain	nib_ramp_512	512	1c7454fdb5783a77693d566de1ea54b3f3ba558f48aae8f782c199c84e355143	310	96e7f225bbcfb54ca926867108bfa1a7a43039bd996a2830f5bbc7bfb143f5e1	RT-OK
plain	planes_64k	65536	e2cac2839133ff6f7f4dafef836d359906b59399999d316680a82b245b8fb3d0	21275	8243b063a750e153730575712cc4f65248dcfca4312bddb3f04ce8aa310a1c43	RT-OK
plain	random_tile_like_1k	1024	465e9033e32e9af62816b631e4f1de5a84f4ede2cb32c086efa368db88ad4d34	885	7e7a286e4d1b44705416375ab88a5afbe5792dc8e57d448cfa539199a7531a68	RT-OK
plain	repeat_far_4k	4064	ee08bc93d26665dc022f0b1cb4f57d133596b8788200dceb970c8fc58940b987	2057	499ad745f23fcb5abf513ec56dc6f409272e1dfc30df0408b77dd1493f59ee5b	RT-OK
plain	runs_160	160	0efd73736d3d73edeb6571643e83bace1707db07d2984eaa5370e5f7a8863776	20	9ecde3fab0a359eda98965b5ea1b88f3659651fcc57df39b88e68ce10b19983c	RT-OK
plain	tile_gradient_128	128	01292f14b6a98e99bad04755108ec11182e59962003783effeefdc2a8d9c744f	22	47dca25083693ffac239e85b2436335b5eb2d16afbd1ef94192022d975706e5f	RT-OK
plain	z32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925	7	923b068d00ac3779986f3449899de76b7c1a1b771454b61f43a585e1a229fe7c	RT-OK
